,latitude,longitude,title,type
111,52.5121215,13.5900601,Kaulsdorf,1
112,52.45875909,13.5797837,Köpenick,1
113,52.510862,13.4995074,Lichtenberg,1
114,52.512310600000006,13.611659,Mahlsdorf,1
115,52.423816,13.375022,Marienfelde,1
116,52.5439346,13.5416038,Marzahn,1
117,52.46931305,13.442365300000002,Neukölln,1
118,52.5320384,13.388017499999998,Nordbahnhof,1
119,52.56728100000001,13.412279000000002,Pankow,1
120,52.50146379999999,13.4775297,Rummelsburg,1
121,52.43975820000001,13.213939800000002,Schlachtensee,1
122,52.39091,13.512791,Flughafen BER T5,1
123,52.4553473,13.5088984,Schöneweide,1
124,52.5718531,13.3803815,Schönholz,1
125,52.53443290000001,13.1984391,Spandau,1
126,52.588447,13.288507,Tegel,1
127,52.4707803,13.385288699999998,Tempelhof,1
128,52.4212849,13.17934337,Wannsee,1
129,52.50071145,13.28397475,Westkreuz,1
130,52.5812404,13.3630728,Wilhelmsruh,1
131,52.43127850000001,13.2593074,Zehlendorf,1
132,52.6761324,13.5925984,Bernau,1
133,52.6684213,13.564469099999998,Bernau-Friedenstal,1
134,52.49358910000001,13.4982066,Betriebsbahnhof Rummelsburg,1
135,52.4468223,13.523837,Johannisthal,1
136,52.534314,13.328703,Beusselstraße,1
137,52.5129002,13.5549494,Biesdorf,1
138,52.5157341,13.6486085,Birkenstein,1
139,52.6878365,13.2887589,Birkenwerder,1
140,52.337654,13.416026,Blankenfelde,1
141,52.714491,13.276770999999998,Borgsdorf,1
142,52.5550454,13.3976331,Bornholmer Straße,1
143,52.4475248,13.305945,Botanischer Garten,1
144,52.410919,13.382689,Buckower Chaussee,1
145,52.4776297,13.3282478,Bundesplatz,1
146,52.57754499999999,13.315582999999998,Eichborndamm,1
147,52.372085,13.614966,Eichwalde,1
148,52.42792489,13.75195046,Erkner,1
149,52.46378370000001,13.3328503,Feuerbachstraße,1
150,52.526461,13.761323999999998,Fredersdorf,1
151,52.46995554,13.34053244,Friedenau,1
152,52.5141394,13.5187139,Friedrichsfelde Ost,1
153,52.555736,13.525653,Gehrenseestraße,1
154,52.5403402,13.4387503,Greifswalder Straße,1
155,52.399539,13.543222,Grünbergallee,1
156,52.52256035,13.40177295,Hackescher Markt,1
157,52.508273,13.258514000000002,Heerstraße,1
158,52.549039,13.86679,Hegermühle,1
159,52.479785,13.312209,Heidelberger Platz,1
160,52.625148,13.228667000000002,Heiligensee,1
161,52.6378233,13.2059062,Hennigsdorf,1
162,52.467665,13.431462699999996,Hermannstraße,1
163,52.457903,13.60148,Hirschgarten,1
164,52.6697995,13.287174599999998,Hohen Neuendorf,1
165,52.4882568,13.3007399,Hohenzollerndamm,1
166,52.518097,13.673828,Hoppegarten (Mark),1
167,52.5445826,13.3792396,Humboldthain,1
168,52.4781162,13.3427112,Innsbrucker Platz,1
169,52.5143059,13.41924785,Jannowitzbrücke,1
170,52.4863855,13.3608731,Julius-Leber-Brücke,1
